Wavelength,;µm;n;k
0.00012399;0.9999946;8.24E-08;
0.00013051;0.999994;1.27E-07;
0.00013776;0.999993;1.25E-07;
0.00015498;0.999991;1.92E-07;
0.00017712;0.999989;3.15E-07;
0.00020664;0.999984;5.51E-07;
0.00024797;0.99998;1.0726E-06;
0.00030996;0.99997;2.4843E-06;
0.00035424;0.99995;4.0484E-06;
0.00041328;0.99994;7.1408E-06;
0.00049594;0.99991;0.000013642;
0.00061993;0.99987;0.000032079;
0.00065255;0.99986;0.000038497;
0.00068881;0.99985;0.000047138;
0.00072932;0.99984;0.000057974;
0.00074021;0.99984;0.000061633;
0.00077734;0.99986;0.000074862;
0.00078472;0.99987;0.00007848;
0.00079274;0.9999;0.000085418;
0.00079376;0.99992;0.000071847;
0.00079478;0.99993;0.000049998;
0.00079529;0.99992;0.000041131;
0.0007958;0.99992;0.000032911;
0.00079785;0.99991;0.000023687;
0.00079887;0.99991;0.000011026;
0.0007999;0.99989;6.0484E-06;
0.0008051;0.99987;6.1901E-06;
0.00081569;0.99985;6.4818E-06;
0.00082657;0.99983;6.8049E-06;
0.00085507;0.99981;7.8422E-06;
0.00088561;0.99979;0.00000894;
0.00095373;0.99974;0.000011636;
0.0010332;0.99968;0.000015628;
0.0011271;0.99961;0.000021586;
0.0012399;0.99953;0.000031115;
0.0013776;0.9994;0.000046771;
0.0015498;0.99924;0.000072992;
0.0017712;0.99898;0.00011811;
0.0020664;0.9986;0.00022001;
0.0024797;0.99797;0.00043503;
0.0030996;0.99694;0.00096887;
0.0041328;0.9948;0.0023492;
0.0049594;0.99313;0.0041863;
0.0061993;0.99111;0.0075099;
0.0065255;0.99054;0.0084716;
0.0068881;0.99007;0.0096517;
0.0072932;0.98909;0.010987;
0.0077491;0.98912;0.013728;
0.0082657;0.98966;0.014773;
0.0085507;0.98934;0.015437;
0.0088561;0.98883;0.016304;
0.0091841;0.98793;0.017765;
0.0095373;0.98761;0.020606;
0.0099188;0.98941;0.023421;
0.010332;0.99139;0.024063;
0.010781;0.99233;0.024928;
0.011271;0.99415;0.025452;
0.011808;0.99285;0.024415;
0.012399;0.99123;0.02992;
0.012652;0.99265;0.033061;
0.012915;0.99652;0.035883;
0.01319;1.0012;0.035311;
0.013477;1.0041;0.033392;
0.013776;1.0058;0.030918;
0.014089;1.006;0.028956;
0.014417;1.0065;0.028232;
0.01476;1.0074;0.026826;
0.01512;1.0077;0.02546;
0.015498;1.0075;0.024476;
0.015694;1.0075;0.024501;
0.015896;1.0078;0.024757;
0.016102;1.0095;0.02518;
0.016314;1.0106;0.023853;
0.016422;1.011;0.023955;
0.016531;1.0118;0.02402;
0.016642;1.0132;0.024343;
0.016755;1.0151;0.024184;
0.016777;1.0156;0.024228;
0.0168;1.0161;0.024282;
0.016823;1.0167;0.024375;
0.016846;1.0173;0.024499;
0.016869;1.0181;0.024831;
0.016892;1.0194;0.025432;
0.016915;1.0219;0.026018;
0.016938;1.0259;0.024227;
0.016961;1.0262;0.019564;
0.016984;1.0246;0.019145;
0.017008;1.0255;0.020012;
0.017031;1.0305;0.020072;
0.017054;1.0349;0.012476;
0.017078;1.0305;0.0041164;
0.017101;1.0249;0.0036218;
0.017125;1.0226;0.0034141;
0.017149;1.0206;0.00344;
0.017172;1.0192;0.0034767;
0.017196;1.0179;0.0034877;
0.017208;1.0174;0.0035108;
0.01722;1.0169;0.0035249;
0.017463;1.0108;0.0034957;
0.017712;1.007;0.0035425;
0.018233;1.0019;0.003673;
0.018786;0.99791;0.0038926;
0.019373;0.99457;0.0041092;
0.019998;0.99143;0.0042397;
0.020664;0.98827;0.0043696;
